koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0,koi_duration,ra,dec,koi_kepmag,koi_score,koi_smass,koi_srad,koi_smet,koi_slogg,koi_steff,koi_tce_plnt_num,koi_model_snr,koi_insol,koi_teq,koi_prad,koi_ror,koi_depth,koi_impact,koi_eccen,koi_disposition_CANDIDATE,koi_disposition_CONFIRMED,koi_disposition_FALSE POSITIVE
CANDIDATE,0,0,0,0,11.37936986,133.84992,2454966.85,2.6255,295.81616,51.121738,15.367,1.0,1.007,1.015,0.16,4.428,5714.0,2.0,37.9,99.68,806.0,3.95,0.035628,1023.5,0.911,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,26.39432897,176.05459,2455009.055,3.573,289.39972,51.25032,15.234,1.0,0.846,0.763,0.02,4.595,5129.0,1.0,48.2,13.49,489.0,3.07,0.03681,1510.9,0.602,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,13.57078281,136.279194,2454969.279,3.3539,300.86398,44.337551,12.882,1.0,0.951,1.012,-0.12,4.406,5854.0,1.0,88.4,89.61,785.0,2.64,0.023908,511.7,0.866,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,7.12594387,139.00492,2454972.005,3.0014,287.88733,46.276241,12.791,1.0,0.941,1.087,-0.06,4.339,5779.0,2.0,47.1,233.31,997.0,1.79,0.01512,192.4,0.898,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,1,0,0,7.442652004,169.9717797,2455002.972,2.3078,288.98682,49.733742,15.27,0.014,0.981,0.956,-0.3,4.469,6108.0,1.0,835.6,206.78,967.0,15.03,0.143936,24446.0,0.137,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,16.38489988,172.72782,2455005.728,3.0249,286.73804,49.97575,15.095,1.0,0.633,0.615,0.04,4.661,4126.0,2.0,28.9,8.35,433.0,2.0,0.029758,1127.1,0.001,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,7.8774163,176.3759,2455009.376,2.0805,286.73804,49.97575,15.095,1.0,0.633,0.615,0.04,4.661,4126.0,1.0,38.7,22.18,553.0,2.16,0.03209,1306.1,0.041,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,36.4454001,151.60125,2454984.601,4.007,286.73804,49.97575,15.095,1.0,0.633,0.615,0.04,4.661,4126.0,3.0,21.7,2.88,332.0,1.99,0.029681,1122.3,0.028,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,3.728732147,171.793255,2455004.793,2.683,290.78574,50.054119,15.523,1.0,0.907,0.809,-0.1,4.577,5497.0,1.0,345.2,258.34,1023.0,6.02,0.068178,5226.5,0.558,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,40.4195037,173.56469,2455006.565,3.362,294.31686,50.080231,15.487,0.999,0.714,0.781,-0.54,4.507,5446.0,1.0,36.9,11.29,467.0,7.51,0.088069,6256.0,0.911,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,2.243380573,170.679233,2455003.679,1.1196,285.17621,50.149818,15.135,1.0,0.578,0.564,-0.32,4.698,4149.0,1.0,38.9,107.6,822.0,1.99,0.032248,821.7,0.915,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,1,0,0,10.405998015,177.197466,2455010.197,6.5036,289.23553,50.241001,15.562,0.0,0.77,0.924,-0.54,4.393,5746.0,1.0,745.2,113.94,833.0,11.23,0.111248,14489.0,0.324,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,2.337437946,171.761982,2455004.762,1.9982,293.83331,50.23035,15.334,1.0,0.85,0.765,0.14,4.595,5005.0,1.0,82.4,311.16,1070.0,2.34,0.027998,971.2,0.28,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,7.2406612,137.75545,2454970.755,0.558,293.83331,50.23035,15.334,0.993,0.85,0.765,0.14,4.595,5005.0,2.0,13.7,68.63,734.0,19.45,0.232818,556.4,1.198,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,3.43591631,132.6624,2454965.662,3.133,287.88733,46.276241,12.791,0.871,0.941,1.087,-0.06,4.339,5779.0,3.0,8.7,617.61,1272.0,0.55,0.004612,23.2,0.624,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,11.59822233,180.395376,2455013.395,2.5237,296.22195,50.28722,15.937,1.0,0.503,0.473,0.0,4.79,3688.0,1.0,71.0,5.82,396.0,2.65,0.051287,2804.5,0.679,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,6.575315881,173.634044,2455006.634,4.3084,290.09805,50.321609,15.312,1.0,0.927,0.989,-0.32,4.415,5992.0,1.0,221.1,251.38,1015.0,5.31,0.049152,2793.3,0.39,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,7.275040844,169.994217,2455002.994,7.5377,295.45529,50.49456,15.08,1.0,0.986,0.867,0.21,4.556,5485.0,1.0,312.1,113.64,833.0,4.86,0.051358,3001.0,0.547,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,19.27153892,186.77093,2455019.771,2.7594,293.97336,50.53191,15.385,1.0,0.576,0.56,-0.24,4.702,4077.0,1.0,37.1,5.66,393.0,1.93,0.031585,1219.8,0.031,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,10.06524317,136.28906,2454969.289,1.369,293.97336,50.53191,15.385,1.0,0.576,0.56,-0.24,4.702,4077.0,2.0,30.3,13.43,488.0,1.91,0.031153,1053.3,0.628,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,12.3935651,178.74725,2455011.747,3.8896,296.02133,50.56778,15.505,1.0,0.832,0.75,-0.4,4.603,5557.0,1.0,35.8,49.68,677.0,2.66,0.032536,916.6,0.883,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,43.84439721,151.93538,2454984.935,6.802,300.86398,44.337551,12.882,0.998,0.951,1.012,-0.12,4.406,5854.0,2.0,83.7,18.77,531.0,2.87,0.025934,615.2,0.852,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,1,1,0,3.341913228,171.63943,2455004.639,3.813,292.31595,38.27029,15.629,0.0,0.853,0.811,-0.02,4.551,5295.0,1.0,39.0,268.67,1032.0,21.55,0.243351,725.3,1.213,0.0,0.0,0.0,1.0
FALSE POSITIVE,0,0,1,0,1.626630225,169.820171,2455002.82,2.1145,294.36819,38.31028,15.279,0.773,0.889,0.973,-0.18,4.41,5735.0,1.0,103.6,1355.88,1547.0,32.43,0.305244,1620.6,1.26,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,2.711504086,170.03417,2455003.034,3.0099,291.65353,38.494659,15.541,1.0,1.169,1.076,0.07,4.442,6214.0,1.0,64.5,960.79,1420.0,3.12,0.026533,837.5,0.023,0.0,0.0,1.0,0.0
